smiles,TPA
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccccc1)=C2,3.871201011
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(F)cc1)=C2,3.828641396
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(Cl)cc1)=C2,4.477336814
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(OC)cc1)=C2,3.713572067
CCN(CC)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,3.988984047
CCN(CC)c1ccc2c(c1)O[B-](c1ccccc1)(c1ccccc1)[N+](c1ccc(C(=O)OC)cc1)=C2,4.919980926
CCOC(=O)c1ccc([N+]2=Cc3ccc(N(CC)CC)cc3O[B-]2(c2ccccc2)c2ccccc2)cc1,5.170483995
CCN(CC)c1ccc(/C=N/c2ccc(/C(C#N)=C/c3ccc(N(CC)CCO)cc3)cc2)c(O)c1,3.295836866
Cc1ccc2c(c1)C(=O)[C@]1(O)CCN(c3ccccc3)C1=N2,6.502790046
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccccn3)cc(-c3ccccn3)c2)cc1,4.262679877
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3cccnc3)cc(-c3cccnc3)c2)cc1,4.65396035
CCOC(=O)CN(CC(=O)OCC)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)cc1,4.543294782
CCN(CC)c1ccc2cc(/C=N/NC(=S)SCc3ccccc3)c(=O)oc2c1,5.616771098
CN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,6.952613915
CCN(CCO)c1ccc(/C=C(\C#N)c2ccc([N+](=O)[O-])cc2)cc1,8.281756893
N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc([N+](=O)[O-])cc1,8.933516469
CN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,6.791479856
CCN(CCO)c1ccc(/C=C(\C#N)c2ccc(N)cc2)cc1,6.842234943
N#C/C(=C\c1ccc(N(CCO)CCO)cc1)c1ccc(N)cc1,8.240369288
CCCCCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(OCCCCCCCC)cc3)nc(-c3ccc(-c4ccc(-c5nc(/C=C/c6ccc(OCCCCCCCC)cc6)cc(/C=C/c6ccc(OCCCCCCCC)cc6)n5)s4)s3)n2)cc1,7.209340257
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccc1,5.231108617
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1ccccn1,5.049856007
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)s1)c1cccnc1,5.370638028
CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccc3)s2)cc1,6.045005314
CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3ccccn3)s2)cc1,6.70930434
CCOc1ccc(N(c2ccc(OCC)cc2)c2ccc(/C=C/C(=O)c3cccnc3)s2)cc1,6.300785795
CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(/C=C/c2c3ccccc3c(C=C3C(=O)CC(C)(C)CC3=O)c3ccccc23)cc1,6.551080335
CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(/C=C/c2c3ccccc3c(C=C3C(=O)c4ccccc4C3=O)c3ccccc23)cc1,6.877296071
CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C=C3C(=O)CC(C)(C)CC3=O)c3ccccc23)cc1,6.907755279
CCCCCCCCCCCCN(CCCCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C=C3C(=O)c4ccccc4C3=O)c3ccccc23)cc1,7.824046011
CN(C)c1cccc2c(/C=C3\CC/C(=C\c4ccc(N(C)C)c5c(N(C)C)cccc45)C3=O)ccc(N(C)C)c12,6.396929655
CCN(CC)c1ccc(/C=C/c2cccs2)cc1,8.256088134
C(=C/c1cccs1)\c1ccc(N(c2ccccc2)c2ccccc2)cc1,5.438079309
CCOc1ccc(N(c2ccc(/C=C/c3cccs3)cc2)c2ccc(OCC)cc2)cc1,7.972466016
CCN(CC)c1ccc(/C=C/C(=O)c2cccs2)cc1,9.024010794
O=C(/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1cccs1,9.071078305
CCOc1ccc(N(c2ccc(/C=C/C(=O)c3cccs3)cc2)c2ccc(OCC)cc2)cc1,7.932003152
COc1ccc(/C=C/c2cc(/C=C/c3ccc(OC)c(OC)c3)nc(-c3nc(/C=C/c4ccc(OC)c(OC)c4)cc(/C=C/c4ccc(OC)c(OC)c4)n3)n2)cc1OC,5.783825182
CCCCCCCCCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c3)nc(-c3nc(/C=C/c4ccc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c4)cc(/C=C/c4ccc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c4)n3)n2)cc1OCCCCCCCCCCCC,5.940171253
CCCCCCCCCCCCCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c3)nc(-c3nc(/C=C/c4ccc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c4)cc(/C=C/c4ccc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c4)n3)n2)cc1OCCCCCCCCCCCCCCCC,5.918893854
CCCCCCCCCCCCOc1cc(/C=C/c2cc(/C=C/c3cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c3)nc(-c3nc(/C=C/c4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)cc(/C=C/c4cc(OCCCCCCCCCCCC)cc(OCCCCCCCCCCCC)c4)n3)n2)cc(OCCCCCCCCCCCC)c1,4.787491743
CCCCCCCCCCCCCCCCOc1cc(/C=C/c2cc(/C=C/c3cc(OCCCCCCCCCCCCCCCC)cc(OCCCCCCCCCCCCCCCC)c3)nc(-c3nc(/C=C/c4cc(OCCCCCCCCCCCCCCCC)cc(OCCCCCCCCCCCCCCCC)c4)cc(/C=C/c4cc(OCCCCCCCCCCCCCCCC)cc(OCCCCCCCCCCCCCCCC)c4)n3)n2)cc(OCCCCCCCCCCCCCCCC)c1,4.700480366
N#CC(C#N)=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,7.258412151
N#CC(C#N)=C(c1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,6.687108608
CCCCOc1c(/C=C/c2ccc(N(c3ccc(OC)cc3)c3ccc(OC)cc3)cc2)sc(/C=C/c2sc(/C=C/c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)c(OCCCC)c2OCCCC)c1OCCCC,8.268731832
CN(C)c1ccc(-c2ccc(C(c3ccc(-c4ccc(N(C)C)cc4)s3)=c3ccc(=C4C=CC(=[N+](C)C)C=C4)s3)s2)cc1,9.93061622
CCn1c2ccccc2c2cc(/C=C/c3ccc(/C=C/c4ccc5c(c4)c4ccccc4n5CC)cc3)ccc21,8.446770727
CCn1c2ccccc2c2cc(/C=C/c3ccc(-c4ccc(/C=C/c5ccc6c(c5)c5ccccc5n6CC)cc4)cc3)ccc21,8.782629655
